title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
He Don't Love Me,Winona Oak,spotify:track:5leC6tggxHZ4LFrE5PMLOS,0.681,0.473,9.0,-10.082,1.0,0.0357,0.505,0.00308,0.134,0.35,124.98,5leC6tggxHZ4LFrE5PMLOS,209244.0,4.0
Break My Broken Heart,Winona Oak,spotify:track:6NjTN1Qbbw6i9Uk2NuMUJL,0.526,0.561,7.0,-8.27,1.0,0.0429,0.0928,6.63e-05,0.103,0.292,164.924,6NjTN1Qbbw6i9Uk2NuMUJL,214715.0,3.0
Control,Winona Oak,spotify:track:3Pcq7FMZ58Scka7U3BSnba,0.683,0.631,4.0,-9.351,0.0,0.104,0.297,0.0235,0.182,0.279,107.814,3Pcq7FMZ58Scka7U3BSnba,182852.0,4.0
Lonely Hearts Club,Winona Oak,spotify:track:5uV9aClfO7MBlLARCgtAwZ,0.307,0.473,0.0,-5.883,1.0,0.0351,0.215,0.0,0.105,0.181,168.976,5uV9aClfO7MBlLARCgtAwZ,185109.0,3.0
Let Me Know,Winona Oak,spotify:track:0HT2pC2Wcl2GGyDTcCWpLU,0.511,0.627,4.0,-6.126,1.0,0.0262,0.0948,0.0,0.109,0.305,145.042,0HT2pC2Wcl2GGyDTcCWpLU,176044.0,3.0
Another Story,Winona Oak,spotify:track:1wJKRawthhe5HCmJGCscks,0.704,0.388,2.0,-9.348,1.0,0.0443,0.78,5.99e-06,0.101,0.165,94.961,1wJKRawthhe5HCmJGCscks,184368.0,4.0
Limbo,Mia.,spotify:track:3i1qr2x5MpMDxm1JdDTytB,0.706,0.753,11.0,-6.732,0.0,0.0294,0.00471,0.0,0.0604,0.52,105.986,3i1qr2x5MpMDxm1JdDTytB,235520.0,4.0
Raw Youth Collage,Mura Masa,spotify:track:3DIfB9MkaPqSgKHq75uHK1,0.692,0.21,8.0,-10.813,1.0,0.0648,0.649,0.856,0.0978,0.412,160.017,3DIfB9MkaPqSgKHq75uHK1,218080.0,4.0
No Hope Generation,Mura Masa,spotify:track:77Aiv6Wauf1C9BFMs29LjN,0.536,0.868,2.0,-8.214,1.0,0.0542,0.0256,0.501,0.123,0.696,165.014,77Aiv6Wauf1C9BFMs29LjN,234333.0,4.0
I Don’t Think I Can Do This Again (with Clairo),"Mura Masa, Clairo",spotify:track:4ylq5OMQY6x7yEeZdmKOdD,0.597,0.503,8.0,-8.373,1.0,0.0519,0.00769,7.6e-05,0.0928,0.557,139.071,4ylq5OMQY6x7yEeZdmKOdD,222773.0,4.0
a meeting at an oak tree (with Ned Green),"Mura Masa, Ned Green",spotify:track:78fRhxPoaOx1Dk1F7Kukm6,0.628,0.295,7.0,-14.048,1.0,0.0914,0.902,0.128,0.0748,0.272,136.554,78fRhxPoaOx1Dk1F7Kukm6,89413.0,1.0
Deal Wiv It (with slowthai),"Mura Masa, slowthai",spotify:track:58FeZw9fdcWTMZnx5uUFZz,0.795,0.674,1.0,-5.542,1.0,0.164,0.00625,0.0,0.219,0.869,142.069,58FeZw9fdcWTMZnx5uUFZz,177000.0,4.0
vicarious living anthem,Mura Masa,spotify:track:5dyikrKsyzLtZ7n7tZuzIH,0.481,0.747,7.0,-6.672,1.0,0.0487,0.00404,0.53,0.218,0.506,173.933,5dyikrKsyzLtZ7n7tZuzIH,125840.0,4.0
In My Mind,Mura Masa,spotify:track:4AaRR4TYXCnnw0dg54pgqe,0.643,0.559,11.0,-8.839,0.0,0.0482,0.0336,0.216,0.125,0.0652,143.019,4AaRR4TYXCnnw0dg54pgqe,331933.0,4.0
Today (with Tirzah),"Mura Masa, Tirzah",spotify:track:7vqbA9MfCnSFMTT0cikF8b,0.614,0.264,10.0,-12.472,1.0,0.0378,0.695,0.00113,0.131,0.29,136.044,7vqbA9MfCnSFMTT0cikF8b,200187.0,4.0
